"Species_Name","light","temp","cont","moist","react","nutr"
"Euphorbia dulcis",4,5,2,5,8,5
"Fallopia convolvulus",7,6,0,5,0,6
"Fallopia dumetorum",6,6,4,5,0,7
"Festuca gigantea",4,5,3,7,6,6
"Festuca heterophylla",5,6,4,4,5,5
"Festuca ovina",7,0,3,0,3,1
"Festuca pallens",9,7,4,2,8,1
"Festuca rubra",0,0,5,6,6,0
"Filipendula ulmaria",7,5,0,8,0,5
"Fragaria moschata",6,6,4,5,6,6
"Fragaria vesca",7,0,5,5,0,6
"Galeobdolon montanum",3,4,5,6,7,6
"Galeopsis bifida",7,5,5,5,6,6
"Galeopsis pubescens",7,5,4,5,0,6
"Galeopsis species",0,0,0,0,0,0
"Galeopsis speciosa",7,0,6,5,0,8
"Galium album ssp. album",7,0,3,5,7,5
"Galium aparine",7,6,3,0,6,8
"Galium odoratum",2,5,2,5,6,5
"Galium palustre",6,5,3,9,0,4
"Galium rotundifolium",2,5,2,5,5,4
"Galium sylvaticum",5,5,4,5,6,5
"Galium uliginosum",6,5,0,8,0,2
"Genista germanica",7,5,4,4,2,2
"Genista tinctoria",8,6,3,6,6,1
"Geranium robertianum",5,0,3,0,0,7
"Geum urbanum",4,5,5,5,0,7
"Glechoma hederacea",6,6,3,6,0,7
"Glyceria fluitans",7,0,3,9,0,7
"Glyceria maxima",9,5,0,10,8,9
"Gymnocarpium dryopteris",3,4,5,6,4,5
"Hedera helix",4,5,2,5,0,0
"Hepatica nobilis",4,6,4,4,7,5
"Heracleum sphondylium",7,5,2,5,0,8
"Hieracium lachenalii",5,5,0,4,4,2
"Hieracium murorum",4,0,3,5,5,4
"Hieracium pilosella",7,0,3,4,0,2
"Hieracium sabaudum",5,6,3,4,4,2
"Hieracium umbellatum",6,6,0,4,4,2
"Holcus lanatus",7,6,3,6,0,5
"Humulus lupulus",7,6,3,8,6,8
"Hylotelephium maximum",8,6,4,3,5,3
"Hypericum montanum",5,6,4,4,7,3
"Hypericum perforatum",7,6,5,4,6,4
"Impatiens glandulifera",5,7,2,8,7,7
"Impatiens noli-tangere",4,5,5,7,7,6
"Impatiens parviflora",4,6,5,5,0,6
"Iris pseudacorus",7,6,3,9,0,7
"Juncus articulatus",8,0,3,9,0,2
"Juncus effusus",8,5,3,7,3,4
"Knautia arvensis",7,6,3,4,0,4
"Knautia dipsacifolia",5,4,4,6,6,6
"Koeleria pyramidata s.lat.",0,0,0,0,0,0
"Lactuca serriola",9,7,7,4,0,4
"Lamium maculatum",5,0,4,6,7,8
"Lapsana communis",5,6,3,5,0,7
"Lathyrus vernus",4,6,4,5,8,4
"Lilium martagon",4,0,5,5,7,5
"Lunaria rediviva",4,5,4,6,7,8
"Luzula luzuloides",4,0,4,5,3,4
"Luzula pilosa",2,0,3,5,5,4
"Lychnis viscaria",7,6,4,3,4,2
"Lycopus europaeus",7,6,5,9,7,7
"Lysimachia vulgaris",6,0,0,8,0,0
"Lythrum salicaria",7,5,5,8,6,0
"Melampyrum nemorosum",5,6,4,4,6,4
"Melampyrum pratense",0,0,3,0,3,2
"Melica nutans",4,0,3,4,0,3
"Mentha longifolia",7,5,4,8,9,7
"Mentha x verticillata",7,5,0,8,7,0
"Mercurialis perennis",2,0,3,0,8,7
"Milium effusum",4,0,3,5,5,5
"Moehringia trinervia",4,5,3,5,6,7
"Mycelis muralis",4,6,2,5,0,6
"Myosotis palustris agg.",7,0,5,8,0,5
"Myosotis sylvatica",6,0,3,5,0,7
"Myosoton aquaticum",7,5,3,8,7,8
"Origanum vulgare",7,0,3,3,8,3
"Oxalis acetosella",1,0,3,5,4,6
"Paris quadrifolia",3,0,4,6,7,7
"Persicaria amphibia",7,6,0,11,6,4
"Persicaria hydropiper",7,6,0,8,5,8
"Phalaris arundinacea",7,5,0,8,7,7
"Pimpinella saxifraga ssp. saxifraga",7,0,5,3,0,2
"Plantago lanceolata",6,0,3,0,0,0
"Poa angustifolia",7,6,0,0,0,3
"Poa nemoralis",5,0,5,5,5,4
"Poa palustris",7,5,5,9,8,7
"Poa trivialis",6,0,3,7,0,7
"Polygonatum multiflorum",2,0,5,5,6,5
"Polygonatum odoratum",7,5,5,3,7,3
"Polypodium vulgare",5,5,3,4,2,2
"Prenanthes purpurea",4,4,4,5,5,5
"Pulmonaria obscura",4,5,6,6,8,7
"Ranunculus lanuginosus",3,6,4,6,7,7
"Ranunculus repens",6,0,0,7,0,7
"Rumex acetosella",8,5,3,3,2,2
"Rumex aquaticus",7,6,7,8,7,8
"Rumex conglomeratus",8,6,3,7,0,8
"Rumex obtusifolius",7,5,3,6,0,9
"Salvia glutinosa",4,5,4,6,7,7
"Scrophularia nodosa",4,5,3,6,6,7
"Scutellaria galericulata",7,6,5,9,7,6
"Securigera varia",7,6,5,4,9,3
"Senecio germanicus",0,0,0,0,0,0
"Senecio ovatus",7,0,4,5,0,8
"Senecio viscosus",8,6,4,3,0,4
"Silene nutans",7,0,5,3,7,3
"Silene species",0,0,0,0,0,0
"Silene vulgaris",8,0,0,4,7,4
"Solanum dulcamara",7,5,0,8,0,8
"Solidago virgaurea",5,0,0,5,0,4
"Stachys palustris",7,5,0,7,7,6
"Stachys sylvatica",4,0,3,7,7,7
"Stellaria graminea",6,0,0,5,4,3
"Stellaria holostea",5,6,3,5,6,5
"Stellaria media",6,0,0,0,7,8
"Stellaria nemorum",4,0,4,7,5,7
"Symphytum officinale",7,6,3,7,0,8
"Taraxacum species",0,0,0,0,0,0
"Thymus pulegioides",8,0,4,4,0,1
"Torilis japonica",6,6,3,5,8,8
"Trifolium alpestre",7,6,4,3,6,3
"Urtica dioica",0,0,0,6,7,9
"Vaccinium myrtillus",5,0,5,0,2,3
"Vaccinium vitis-idaea",5,0,5,4,2,1
"Valeriana excelsa ssp. sambucifolia",7,6,5,8,6,5
"Verbascum densiflorum",8,6,5,4,8,5
"Verbascum nigrum",7,5,5,5,7,7
"Verbascum species",0,0,0,0,0,0
"Veronica beccabunga",7,0,3,10,7,6
"Veronica chamaedrys",6,0,0,5,0,0
"Veronica officinalis",6,0,3,4,3,4
"Vicia dumetorum",6,6,4,5,8,4
"Vicia species",0,0,0,0,0,0
"Vicia sylvatica",7,0,4,4,8,0
"Vincetoxicum hirundinaria",6,5,5,3,7,3
"Viola collina",6,5,7,3,8,2
"Viola reichenbachiana",4,0,4,5,7,6
"Viola species",0,0,0,0,0,0
"Viola tricolor",0,0,0,0,0,0
